,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Additional SDGs,Primary SDG,Source link,Multy label
0,FlixBus,https://www.flixbus.com/,Dealroom,Bus travel across Europe,,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/flixbus,0
1,Sungevity Netherlands,http://www.sungevity.nl,Dealroom,Develops remote solar designs and installation services for home solar electric systems,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sungevity,0
2,Intelligent Energy,http://intelligent-energy.com,Dealroom,"Powering Technology - Fuel Cells for the Automotive, Distributed Power & Generation and Consumer Electronics markets.",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/intelligent_energy,0
3,Sonnen GmbH,https://sonnen-batterie.com/en-us/start,Dealroom,Global leader in smart energy storage solutions,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sonnenbatterie,0
4,Gousto,http://www.gousto.co.uk,Dealroom,"Is an online meal-kit manufacturer and retailer, using AI and automation to provide extensive choice and personalisation",,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/gousto,0
5,Avantium Technologies,http://www.avantium.com,Dealroom,"Provides high-throughput R&D technologies for applications in the energy, chemicals and pharmaceutical industries",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/avantium_technologies,0
6,Heliatek,http://www.heliatek.com,Dealroom,Organic photovoltaics (OPV) based on small molecules,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/heliatek,0
7,Oxford Photovoltaics,http://www.oxfordpv.com,Dealroom,Designs and manufactures hybrid organic photovoltaic systems for building integrated applications,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/oxford_photovoltaics,0
8,Hydrogenious Technologies,http://www.hydrogenious.net,Dealroom,New technology for hydrogen storage in Liquid Organic Hydrogen Carriers,,"SDG 7: Affordable and Clean Energy, SDG 11: Cities and Communities",_multy_labeled,,,,,Core,https://app.dealroom.co/companies/hyt,1
9,Lekela,http://lekela.com,Dealroom,Pan-African renewable energy generation platform,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/lekela,0
10,Advanced Manufacturing Control Systems - AMCS Group,http://www.amcsgroup.com,Dealroom,"AMCS is the leading supplier of integrated software and vehicle technology for the waste, recycling and material resources industries",,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/advanced_manufacturing_control_systems,0
11,Energy Vault SA,https://energyvault.ch/,Dealroom,Energy Vault SA offersground-breaking energy storage technology utilizing fundamental principles of science to deliver a storage solution,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/energy_vault_sa,0
12,MindMaze,http://www.mindmaze.com,Dealroom,"Builds novel interfaces for neurorehabilitation, game training and 3D imaging in real time",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/mindmaze,0
13,Lilium,https://lilium.com/,Dealroom,The world's first fully electric vertical take-off and landing (VTOL) jet,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/lilium,0
14,E-Leather Group,http://www.eleathergroup.com/,Dealroom,Designs and manufactures a patented eco-friendly upholstery and cladding material,,13,Planet,,,,,Core,https://app.dealroom.co/companies/e_leather_group,0
15,TIER Mobility,https://tier.app,Dealroom,Provides electric scooters that can be rented on demand to travel in cities,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/tier_mobility,0
16,Volocopter,https://volocopter.com/en/,Dealroom,"Manned, fully electric and safe VTOL",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/volocopter,0
17,Voi Technology,https://voiapp.io/,Dealroom,Sharing service for electric vehicles,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/voi_technology,0
18,Green Biologics Ltd,http://www.greenbiologics.com/,Dealroom,Renewable chemicals naturally designed to deliver the performance that adds value to everyday products,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/green_biologics,0
19,Bulb,http://bulb.co.uk,Dealroom,Provides 100% renewable electricity and gas to homes across the UK,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/bulb_uk,0
20,Syntaxin,https://www.ipsen.com/,Dealroom,"Engineers and develops bacterial-based protein therapeutics for the treatment of neurological, inflammatory and endocrine diseases",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/syntaxin,0
21,Navya,http://navya.tech,Dealroom,Develops driverless automated electric vehicles,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/navya,0
22,Marley Spoon,http://www.marleyspoon.com/,Dealroom,Home delivery of recipes and ingredients to encourage home cooking,,13,Planet,,,,,Side,https://app.dealroom.co/companies/marley_spoon,0
23,Agrosavfe,http://agrosavfe.be/,Dealroom,"Focuses on the discovery, development and commercialization of biocontrols to tackle pests using its proprietary AGROBODY™ technology platform",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/agrosavfe,0
24,Innovafeed,http://www.innovafeed.com,Dealroom,"Sustainable way to produce protein using regionally available, low-value materials",,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/innovafeed,0
25,Cityscoot,http://www.cityscoot.eu/,Dealroom,Electric scooters rental,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/cityscoot,0
26,Thermondo,https://www.thermondo.de/,Dealroom,German installer for heating systems,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/thermondo,0
27,TactoTek,http://tactotek.com,Dealroom,Injection-Molded Structural Electronics,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/tactotek,0
28,Sol Voltaics,http://solvoltaics.com,Dealroom,"Sol Voltaics improves the efficiency of energy capture, generation and storage using miniscule amounts of novel nanomaterials",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sol_voltaics,0
29,Yasa,http://www.yasa.com/,Dealroom,Designs and manufactures exceptionally compact and power dense e-motors and motor controllers for hybrid and electric vehicles,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/yasa,0
30,Skeleton Technologies,http://skeletontech.com/,Dealroom,Developer and manufacturer of high energy and power density ultracapacitators,,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/skeleton_technologies,0
31,Nortal AS,http://nortal.com,Dealroom,International high-end software development solutions provider in public and private sector,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/nortal_as,0
32,AImotive,https://aimotive.com/,Dealroom,AI powered self-driving technology,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/aimotive,0
33,CamSemi,http://www.camsemi.com,Dealroom,Fabless company designing and manufacturing energy-efficient power conversion products,,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/camsemi,0
34,PowerCell Sweden,http://powercell.se,Dealroom,Environmentally friendly power systems developed with fuel cell and reformer technology,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/powercell_sweden,0
35,Gecko Biomedical,http://geckobiomedical.com,Dealroom,Develops biodegradable sealants and adhesives for wound closure in the field of minimally-invasive surgery,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/gecko_biomedical,0
36,Sunfire,http://sunfire.de,Dealroom,Develops and produces high-temperature fuel cells which facilitate the generation of electric power and heat,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sunfire,0
37,Amminex,http://www.amminex.com/,Dealroom,"Our inventions and innovative technology provide cost efficient emissions technologies globally for diesel driven applications to enable superior and transparent DeNOx performance in real world operation, for both first-fit and retrofit",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/amminex,0
38,Five AI,https://five.ai/,Dealroom,Leverages artificial intelligence (AI) and machine learning to build navigation systems to power autonomous cars,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/five_ai,0
39,Cosmo Tech,https://cosmotech.com,Dealroom,Global software company that helps senior management and the C-suite make optimal decisions,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/cosmo_tech,0
40,Moventas Gears,http://www.moventas.com/,Dealroom,A renewable energy technology pioneer,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/moventas,0
41,Norstel,http://norstel.com,Dealroom,Norstel AB develops wide bandgap semiconductor materials including silicon carbide wafers and epitaxial layers,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/norstel,0
42,Varioptic,http://www.varioptic.com,Dealroom,Manufactures electrically-controlled optical liquid lenses for optical designers,,9,Prosperity,,,,,Side,https://app.dealroom.co/companies/varioptic,0
43,Bluewater Bio,http://bluewaterbio.com,Dealroom,"Providing a high performance, cost effective, proprietary wastewater treatment process called HYBACS",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/bluewater_bio,0
44,EcoVadis,http://ecovadis.com,Dealroom,Sustainability Rating and Performance Monitoring,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/ecovadis,0
